[1/81] Area_1/WC_1 pre k=32: flashknn=291.0MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[1/81] Area_1/WC_1 post k=32: flashknn=120.3MiB, cuda_kdtree=37.7MiB, faiss_flat=1564.6MiB, faiss_ivf=1567.5MiB
[2/81] Area_1/conferenceRoom_1 pre k=32: flashknn=290.6MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[2/81] Area_1/conferenceRoom_1 post k=32: flashknn=121.4MiB, cuda_kdtree=37.8MiB, faiss_flat=1564.2MiB, faiss_ivf=1567.0MiB
[3/81] Area_1/conferenceRoom_2 pre k=32: flashknn=292.3MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[3/81] Area_1/conferenceRoom_2 post k=32: flashknn=123.7MiB, cuda_kdtree=38.0MiB, faiss_flat=1564.9MiB, faiss_ivf=1567.7MiB
[4/81] Area_1/hallway_6 pre k=32: flashknn=289.2MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[4/81] Area_1/hallway_6 post k=32: flashknn=120.0MiB, cuda_kdtree=37.5MiB, faiss_flat=1563.8MiB, faiss_ivf=1566.6MiB
[5/81] Area_1/hallway_7 pre k=32: flashknn=290.6MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[5/81] Area_1/hallway_7 post k=32: flashknn=121.1MiB, cuda_kdtree=37.6MiB, faiss_flat=1564.0MiB, faiss_ivf=1566.8MiB
[6/81] Area_1/hallway_8 pre k=32: flashknn=290.1MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.0MiB
[6/81] Area_1/hallway_8 post k=32: flashknn=120.9MiB, cuda_kdtree=37.7MiB, faiss_flat=1564.0MiB, faiss_ivf=1566.9MiB
[7/81] Area_1/office_16 pre k=32: flashknn=291.1MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[7/81] Area_1/office_16 post k=32: flashknn=124.6MiB, cuda_kdtree=38.0MiB, faiss_flat=1564.6MiB, faiss_ivf=1567.5MiB
[8/81] Area_1/office_30 pre k=32: flashknn=292.5MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[8/81] Area_1/office_30 post k=32: flashknn=121.8MiB, cuda_kdtree=38.0MiB, faiss_flat=1564.5MiB, faiss_ivf=1567.2MiB
[9/81] Area_1/office_31 pre k=32: flashknn=290.4MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[9/81] Area_1/office_31 post k=32: flashknn=121.5MiB, cuda_kdtree=37.8MiB, faiss_flat=1564.3MiB, faiss_ivf=1567.2MiB
[10/81] Area_2/auditorium_1 pre k=32: flashknn=290.3MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.0MiB
[10/81] Area_2/auditorium_1 post k=32: flashknn=121.3MiB, cuda_kdtree=37.8MiB, faiss_flat=1564.3MiB, faiss_ivf=1567.2MiB
[11/81] Area_2/auditorium_2 pre k=32: flashknn=291.0MiB, cuda_kdtree=82.6MiB, faiss_flat=1631.4MiB, faiss_ivf=1634.1MiB
[11/81] Area_2/auditorium_2 post k=32: flashknn=124.0MiB, cuda_kdtree=38.2MiB, faiss_flat=1564.8MiB, faiss_ivf=1567.6MiB
[12/81] Area_2/conferenceRoom_1 pre k=32: flashknn=289.5MiB, cuda_kdtree=82.6MiB, faiss_flat=1631.4MiB, faiss_ivf=1634.2MiB
[12/81] Area_2/conferenceRoom_1 post k=32: flashknn=120.1MiB, cuda_kdtree=37.6MiB, faiss_flat=1563.9MiB, faiss_ivf=1566.7MiB
[13/81] Area_2/hallway_10 pre k=32: flashknn=289.6MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[13/81] Area_2/hallway_10 post k=32: flashknn=120.5MiB, cuda_kdtree=37.6MiB, faiss_flat=1563.9MiB, faiss_ivf=1566.7MiB
[14/81] Area_2/hallway_12 pre k=32: flashknn=291.1MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[14/81] Area_2/hallway_12 post k=32: flashknn=121.2MiB, cuda_kdtree=37.8MiB, faiss_flat=1564.2MiB, faiss_ivf=1567.0MiB
[15/81] Area_2/hallway_2 pre k=32: flashknn=290.3MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[15/81] Area_2/hallway_2 post k=32: flashknn=119.8MiB, cuda_kdtree=37.7MiB, faiss_flat=1564.0MiB, faiss_ivf=1566.7MiB
[16/81] Area_2/hallway_3 pre k=32: flashknn=290.2MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[16/81] Area_2/hallway_3 post k=32: flashknn=120.3MiB, cuda_kdtree=37.7MiB, faiss_flat=1564.1MiB, faiss_ivf=1566.7MiB
[17/81] Area_2/hallway_5 pre k=32: flashknn=289.5MiB, cuda_kdtree=82.6MiB, faiss_flat=1633.2MiB, faiss_ivf=1636.0MiB
[17/81] Area_2/hallway_5 post k=32: flashknn=119.3MiB, cuda_kdtree=37.5MiB, faiss_flat=1563.8MiB, faiss_ivf=1566.4MiB
[18/81] Area_2/hallway_8 pre k=32: flashknn=289.7MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1634.9MiB
[18/81] Area_2/hallway_8 post k=32: flashknn=119.8MiB, cuda_kdtree=37.5MiB, faiss_flat=1563.8MiB, faiss_ivf=1566.5MiB
[19/81] Area_2/office_14 pre k=32: flashknn=292.3MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.3MiB
[19/81] Area_2/office_14 post k=32: flashknn=123.8MiB, cuda_kdtree=38.2MiB, faiss_flat=1564.9MiB, faiss_ivf=1567.7MiB
[20/81] Area_2/office_4 pre k=32: flashknn=289.4MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[20/81] Area_2/office_4 post k=32: flashknn=120.4MiB, cuda_kdtree=37.8MiB, faiss_flat=1564.9MiB, faiss_ivf=1567.7MiB
[21/81] Area_2/office_5 pre k=32: flashknn=290.7MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[21/81] Area_2/office_5 post k=32: flashknn=122.0MiB, cuda_kdtree=38.0MiB, faiss_flat=1564.6MiB, faiss_ivf=1567.2MiB
[22/81] Area_3/WC_1 pre k=32: flashknn=291.6MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[22/81] Area_3/WC_1 post k=32: flashknn=120.6MiB, cuda_kdtree=37.6MiB, faiss_flat=1564.0MiB, faiss_ivf=1566.7MiB
[23/81] Area_3/WC_2 pre k=32: flashknn=289.8MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[23/81] Area_3/WC_2 post k=32: flashknn=121.2MiB, cuda_kdtree=37.6MiB, faiss_flat=1564.0MiB, faiss_ivf=1566.7MiB
[24/81] Area_3/conferenceRoom_1 pre k=32: flashknn=290.9MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[24/81] Area_3/conferenceRoom_1 post k=32: flashknn=120.9MiB, cuda_kdtree=37.8MiB, faiss_flat=1564.2MiB, faiss_ivf=1567.0MiB
[25/81] Area_3/hallway_2 pre k=32: flashknn=290.4MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.0MiB
[25/81] Area_3/hallway_2 post k=32: flashknn=121.7MiB, cuda_kdtree=37.7MiB, faiss_flat=1564.0MiB, faiss_ivf=1566.7MiB
[26/81] Area_3/hallway_4 pre k=32: flashknn=289.4MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[26/81] Area_3/hallway_4 post k=32: flashknn=119.5MiB, cuda_kdtree=37.5MiB, faiss_flat=1563.8MiB, faiss_ivf=1566.5MiB
[27/81] Area_3/lounge_1 pre k=32: flashknn=290.5MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.0MiB
[27/81] Area_3/lounge_1 post k=32: flashknn=119.7MiB, cuda_kdtree=37.6MiB, faiss_flat=1563.9MiB, faiss_ivf=1566.6MiB
[28/81] Area_3/lounge_2 pre k=32: flashknn=290.9MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[28/81] Area_3/lounge_2 post k=32: flashknn=120.8MiB, cuda_kdtree=37.7MiB, faiss_flat=1565.1MiB, faiss_ivf=1567.7MiB
[29/81] Area_3/office_8 pre k=32: flashknn=291.9MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[29/81] Area_3/office_8 post k=32: flashknn=122.8MiB, cuda_kdtree=38.1MiB, faiss_flat=1564.7MiB, faiss_ivf=1567.6MiB
[30/81] Area_4/conferenceRoom_1 pre k=32: flashknn=289.2MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[30/81] Area_4/conferenceRoom_1 post k=32: flashknn=119.7MiB, cuda_kdtree=37.5MiB, faiss_flat=1564.1MiB, faiss_ivf=1566.9MiB
[31/81] Area_4/conferenceRoom_2 pre k=32: flashknn=290.2MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[31/81] Area_4/conferenceRoom_2 post k=32: flashknn=121.4MiB, cuda_kdtree=37.8MiB, faiss_flat=1564.2MiB, faiss_ivf=1567.0MiB
[32/81] Area_4/conferenceRoom_3 pre k=32: flashknn=290.9MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[32/81] Area_4/conferenceRoom_3 post k=32: flashknn=120.3MiB, cuda_kdtree=37.5MiB, faiss_flat=1563.8MiB, faiss_ivf=1566.6MiB
[33/81] Area_4/hallway_1 pre k=32: flashknn=291.0MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.0MiB
[33/81] Area_4/hallway_1 post k=32: flashknn=119.5MiB, cuda_kdtree=37.6MiB, faiss_flat=1563.9MiB, faiss_ivf=1566.6MiB
[34/81] Area_4/hallway_10 pre k=32: flashknn=290.5MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.0MiB
[34/81] Area_4/hallway_10 post k=32: flashknn=119.6MiB, cuda_kdtree=37.5MiB, faiss_flat=1563.8MiB, faiss_ivf=1566.4MiB
[35/81] Area_4/hallway_14 pre k=32: flashknn=291.0MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.0MiB
[35/81] Area_4/hallway_14 post k=32: flashknn=121.5MiB, cuda_kdtree=37.8MiB, faiss_flat=1564.7MiB, faiss_ivf=1567.4MiB
[36/81] Area_4/hallway_2 pre k=32: flashknn=289.7MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[36/81] Area_4/hallway_2 post k=32: flashknn=119.6MiB, cuda_kdtree=37.5MiB, faiss_flat=1564.5MiB, faiss_ivf=1567.3MiB
[37/81] Area_4/hallway_3 pre k=32: flashknn=290.6MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
