room,points,boundary_points,boundary_fraction,subset,method,count,accuracy,mean_class_accuracy,miou
5_office_31,56316,679,0.01205696,all,FlashKNN,56316,0.92028908,0.90319793,0.84873974
5_office_31,56316,679,0.01205696,all,ExactKNN,56316,0.91851339,0.90262862,0.84814170
5_office_31,56316,679,0.01205696,semantic_boundary,FlashKNN,679,0.58026510,0.52193905,0.34420034
5_office_31,56316,679,0.01205696,semantic_boundary,ExactKNN,679,0.53755523,0.45886027,0.31631252
5_office_31,56316,679,0.01205696,non_boundary,FlashKNN,55637,0.92443877,0.90819137,0.85662269
5_office_31,56316,679,0.01205696,non_boundary,ExactKNN,55637,0.92316264,0.90871415,0.85709785
5_office_26,51621,636,0.01232057,all,FlashKNN,51621,0.87505085,0.84116791,0.78816211
5_office_26,51621,636,0.01232057,all,ExactKNN,51621,0.86590729,0.79687674,0.74145923
5_office_26,51621,636,0.01232057,semantic_boundary,FlashKNN,636,0.65408805,0.52511681,0.32902197
5_office_26,51621,636,0.01232057,semantic_boundary,ExactKNN,636,0.65408805,0.47555285,0.32188718
5_office_26,51621,636,0.01232057,non_boundary,FlashKNN,50985,0.87780720,0.84514188,0.79436452
5_office_26,51621,636,0.01232057,non_boundary,ExactKNN,50985,0.86854957,0.80040293,0.74727623
5_office_14,83639,956,0.01143007,all,FlashKNN,83639,0.88281782,0.84857271,0.71717618
5_office_14,83639,956,0.01143007,all,ExactKNN,83639,0.89751193,0.87407597,0.80816316
5_office_14,83639,956,0.01143007,semantic_boundary,FlashKNN,956,0.59728033,0.55886964,0.33672070
5_office_14,83639,956,0.01143007,semantic_boundary,ExactKNN,956,0.59205021,0.54532572,0.36375918
5_office_14,83639,956,0.01143007,non_boundary,FlashKNN,82683,0.88611927,0.85240500,0.72216572
5_office_14,83639,956,0.01143007,non_boundary,ExactKNN,82683,0.90104375,0.87845232,0.81415646
5_hallway_9,78651,485,0.00616648,all,FlashKNN,78651,0.94520095,0.68566376,0.62594000
5_hallway_9,78651,485,0.00616648,all,ExactKNN,78651,0.92942238,0.64265968,0.51831977
5_hallway_9,78651,485,0.00616648,semantic_boundary,FlashKNN,485,0.64123711,0.40536245,0.20152938
5_hallway_9,78651,485,0.00616648,semantic_boundary,ExactKNN,485,0.63505155,0.32342968,0.21095415
5_hallway_9,78651,485,0.00616648,non_boundary,FlashKNN,78166,0.94708697,0.68637758,0.62997186
5_hallway_9,78651,485,0.00616648,non_boundary,ExactKNN,78166,0.93124888,0.64377412,0.52249343
5_office_15,89396,937,0.01048145,all,FlashKNN,89396,0.92412412,0.89903772,0.84928927
5_office_15,89396,937,0.01048145,all,ExactKNN,89396,0.94060137,0.92880756,0.88422893
5_office_15,89396,937,0.01048145,semantic_boundary,FlashKNN,937,0.73425827,0.62188726,0.49453808
5_office_15,89396,937,0.01048145,semantic_boundary,ExactKNN,937,0.75133404,0.62799963,0.50331186
5_office_15,89396,937,0.01048145,non_boundary,FlashKNN,88459,0.92613527,0.90112739,0.85275523
5_office_15,89396,937,0.01048145,non_boundary,ExactKNN,88459,0.94260618,0.93116790,0.88807395
