model,backend,seed,concurrency_regime,start_epoch_s,end_epoch_s,total_s,total_h,min_per_epoch,s_per_step,peak_memory_gib
DeLA,FlashKNN,47,two_jobs,1785844102,1785856271,12169,3.380278,2.028167,0.243380,12.104
DeLA,nanoflann,47,two_jobs,1785893348,1785913995,20647,5.735278,3.441167,0.412940,11.931
DeepLA-24,FlashKNN,47,two_jobs,1785844102,1785860127,16025,4.451389,2.670833,0.320500,15.219
DeepLA-24,nanoflann,47,two_jobs,1785893348,1785917893,24545,6.818056,4.090833,0.490900,15.118
DeLA,FlashKNN,48,four_jobs,1785918188,1785955715,37527,10.424167,6.254500,0.750540,12.046
DeLA,FlashKNN,49,four_jobs,1785918188,1785956067,37879,10.521944,6.313167,0.757580,11.933
DeLA,nanoflann,48,four_jobs,1785918188,1785965159,46971,13.047500,7.828500,0.939420,11.868
DeLA,nanoflann,49,four_jobs,1785918188,1785965300,47112,13.086667,7.852000,0.942240,11.683
DeepLA-24,FlashKNN,48,four_jobs,1786020740,1786056709,35969,9.991389,5.994833,0.719380,14.899
DeepLA-24,FlashKNN,49,four_jobs,1786020740,1786056705,35965,9.990278,5.994167,0.719300,15.230
DeepLA-24,nanoflann,48,four_jobs,1786020740,1786064522,43782,12.161667,7.297000,0.875640,14.444
DeepLA-24,nanoflann,49,four_jobs,1786020740,1786064705,43965,12.212500,7.327500,0.879300,14.984
